tool	concept	weight	top_files
bids-specification	experiment design	19	bids-specification/references/documentation/other/events.md, bids-specification/references/documentation/other/hed.md, bids-specification/references/documentation/other/common-principles.md
dipy	Bayesian modeling	18	dipy/references/tutorials/diffusivities/diffusivities.md, dipy/references/documentation/other/api_changes.rst, dipy/references/documentation/other/b_and_q.rst
nipype	EEG preprocessing	18	nipype/references/tutorials/index.md, nipype/references/tutorials/extract-inputs/extract-inputs.md, nipype/references/tutorials/ica-aroma-inputs/ica-aroma-inputs.md
afni	BIDS	17	afni/references/tutorials/index.md, afni/references/tutorials/retrots-bids-basic/retrots-bids-basic.md, afni/references/tutorials/retrots-bids-custom-slice-order/retrots-bids-custom-slice-order.md
nibabel	EEG preprocessing	17	nibabel/references/tutorials/a2f-upscale/a2f-upscale.md, nibabel/references/documentation/other/bv_formats.rst, nibabel/references/documentation/other/gettingstarted.rst
nibabel	fMRI preprocessing	17	nibabel/references/documentation/other/biap_0009.rst, nibabel/references/documentation/other/biap_0003.rst, nibabel/references/documentation/other/CONTRIBUTING.md
nibabel	quality control	17	nibabel/references/tutorials/checks/checks.md, nibabel/references/tutorials/logging/logging.md, nibabel/references/documentation/other/dcm2nii_algorithms.rst
mne-python	browser experiment	16	mne-python/references/tutorials/index.md, mne-python/references/tutorials/qt-scraper/qt-scraper.md, mne-python/references/tutorials/raw-plot-theme/raw-plot-theme.md
bids-specification	quality control	15	bids-specification/references/tutorials/index.md, bids-specification/references/documentation/overview/Maintainers_Guide.md, bids-specification/references/tutorials/write-report/write-report.md
eeglab	epoching	15	eeglab/references/documentation/overview/AGENTS.md
nibabel	epoching	14	nibabel/references/tutorials/fillpositive-plus-minus-epsilon/fillpositive-plus-minus-epsilon.md, nibabel/references/documentation/other/dicom_intro.rst
qsiprep	EEG preprocessing	14	qsiprep/references/documentation/other/preprocessing.rst, qsiprep/references/documentation/other/quickstart.rst, qsiprep/references/documentation/overview/AGENTS.md
eeglab	reproducibility	13	eeglab/references/documentation/community/CODE_OF_CONDUCT.md, eeglab/references/documentation/templates/bug_report.md, eeglab/references/documentation/templates/new-plugin-or-plugin-update.md
nilearn	browser experiment	13	nilearn/references/documentation/other/index.rst, nilearn/references/documentation/other/0.5.0.rst, nilearn/references/documentation/other/0.6.0.rst
nipype	quality control	13	nipype/references/tutorials/melodic-inputs/melodic-inputs.md, nipype/references/documentation/other/quickstart.rst, nipype/references/tutorials/cat12segment-outputs/cat12segment-outputs.md
psychopy	registration	13	psychopy/references/tutorials/transform/transform.md, psychopy/references/tutorials/index.md
qsiprep	confounds	13	qsiprep/references/documentation/other/preprocessing.rst, qsiprep/references/documentation/overview/AGENTS.md, qsiprep/references/documentation/other/contributors.rst
snakemake	behavioral data	13	snakemake/references/documentation/other/rules.rst, snakemake/references/documentation/other/configuration.rst, snakemake/references/documentation/community/CODE_OF_CONDUCT.md
fmriprep	GLM	12	fmriprep/references/documentation/other/outputs.rst, fmriprep/references/documentation/other/workflows.rst, fmriprep/references/documentation/other/faq.rst
jspsych	Bayesian modeling	12	jspsych/references/documentation/other/eye-tracking.md, jspsych/references/documentation/other/html-audio-response.md, jspsych/references/documentation/guides/hello-world.md
jspsych	quality control	12	jspsych/references/documentation/community/code-of-conduct.md, jspsych/references/documentation/other/browser-device-support.md, jspsych/references/documentation/other/virtual-chinrest.md
nipype	behavioral data	12	nipype/references/tutorials/modify-paths-bug/modify-paths-bug.md, nipype/references/documentation/community/CODE_OF_CONDUCT.md, nipype/references/tutorials/csd-inputs/csd-inputs.md
nipype	source localization	12	nipype/references/tutorials/watershedbem-outputs/watershedbem-outputs.md
pymc	EEG preprocessing	12	pymc/references/documentation/overview/README.rst, pymc/references/documentation/other/jupyter_style.md, pymc/SKILL.md
pymc	quality control	12	pymc/references/tutorials/sample-return-lengths/sample-return-lengths.md, pymc/references/documentation/other/running_the_test_suite.md, pymc/references/tutorials/marginal-likelihood/marginal-likelihood.md
nipype	GLM	10	nipype/references/tutorials/index.md, nipype/references/tutorials/computetdi-inputs/computetdi-inputs.md, nipype/references/tutorials/contrast-inputs/contrast-inputs.md
nibabel	BIDS	9	nibabel/references/documentation/other/biap_0009.rst, nibabel/references/documentation/other/add_image_format.rst, nibabel/references/documentation/other/spm_use.rst
nipype	confounds	9	nipype/references/tutorials/multipleregressdesign/multipleregressdesign.md, nipype/references/tutorials/compcor-bad-input-shapes/compcor-bad-input-shapes.md, nipype/references/tutorials/computedvars-inputs/computedvars-inputs.md
nipype	epoching	9	nipype/references/tutorials/maximage/maximage.md, nipype/references/tutorials/datasink-to-s3/datasink-to-s3.md, nipype/references/tutorials/simulatemultitensor-inputs/simulatemultitensor-inputs.md
snakemake	BIDS	9	snakemake/references/documentation/other/rules.rst, snakemake/references/documentation/guides/additional_features.rst, snakemake/references/documentation/other/codebase.rst
afni	connectome	8	afni/references/documentation/other/cover.rst, afni/references/documentation/other/index.rst, afni/references/documentation/other/ROI_45a.rst
bids-specification	GLM	8	bids-specification/references/documentation/other/common-principles.md, bids-specification/references/documentation/other/common-data-types.md, bids-specification/references/documentation/other/dataset-description.md
dipy	derivatives	8	dipy/references/documentation/other/buan_flow.rst, dipy/references/tutorials/index.md
dipy	fMRI preprocessing	8	dipy/references/documentation/other/motion_flow.rst, dipy/references/documentation/other/coding_style_guideline.rst, dipy/references/documentation/other/configure_git.rst
dipy	statistics	8	dipy/references/tutorials/sh-to-bingham-handles-empty-voxels/sh-to-bingham-handles-empty-voxels.md, dipy/references/documentation/other/buan_flow.rst, dipy/references/documentation/other/denoise_flow.rst
dipy	tractography	8	dipy/references/tutorials/convert-tensor/convert-tensor.md, dipy/references/documentation/other/api_changes.rst, dipy/references/documentation/other/faq.rst
fmriprep	statistics	8	fmriprep/references/documentation/other/outputs.rst, fmriprep/references/documentation/other/workflows.rst
mrtrix3	derivatives	8	mrtrix3/references/documentation/api/dirstat.rst, mrtrix3/references/documentation/other/dw_scheme.rst, mrtrix3/references/documentation/other/build_from_source.rst
mrtrix3	statistics	8	mrtrix3/references/documentation/other/displaying_results_with_streamlines.rst, mrtrix3/references/documentation/api/connectomestats.rst, mrtrix3/references/documentation/api/fixelcfestats.rst
psychopy	browser experiment	8	psychopy/references/tutorials/index.md, psychopy/references/tutorials/plugin-stub-links/plugin-stub-links.md, psychopy/references/documentation/other/2024.1.0.md
fmriprep	epoching	7	fmriprep/references/tutorials/index.md, fmriprep/references/tutorials/baseline-found-as-str/baseline-found-as-str.md
mne-python	fMRI preprocessing	7	mne-python/references/documentation/other/installers.rst, mne-python/references/documentation/other/contributing.rst
nibabel	diffusion preprocessing	7	nibabel/references/tutorials/index.md, nibabel/references/tutorials/dwi-params/dwi-params.md
nibabel	statistics	7	nibabel/references/tutorials/index.md, nibabel/references/tutorials/io-orientation-column-strength-regression/io-orientation-column-strength-regression.md
nipype	statistics	7	nipype/references/tutorials/index.md, nipype/references/tutorials/icc-rep-anova/icc-rep-anova.md
pymc	BIDS	7	pymc/references/tutorials/gradients/gradients.md, pymc/references/documentation/guides/Probability_Distributions.rst, pymc/references/documentation/other/glossary.md
pymc	derivatives	7	pymc/references/tutorials/gradients/gradients.md, pymc/references/documentation/other/using_gitpod.md, pymc/references/documentation/other/glossary.md
bids-specification	registration	6	bids-specification/references/documentation/specifications/microscopy.md, bids-specification/references/documentation/specifications/magnetic-resonance-spectroscopy.md, bids-specification/references/documentation/other/coordinate-systems.md
dipy	BIDS	6	dipy/references/documentation/other/buan_flow.rst, dipy/references/documentation/other/reconstruction_models_list.rst
dipy	experiment design	6	dipy/references/tutorials/normalization/normalization.md, dipy/references/documentation/other/toolchain.rst
eeglab	BIDS	6	eeglab/references/documentation/overview/AGENTS.md, eeglab/references/documentation/overview/README.md
fmriprep	Bayesian modeling	6	fmriprep/references/documentation/other/workflows.rst, fmriprep/references/documentation/other/outputs.rst, fmriprep/references/documentation/other/spaces.rst
freesurfer	Bayesian modeling	6	freesurfer/references/documentation/overview/ReconAllTableStableV6.0.md, freesurfer/references/documentation/overview/FAQ.md, freesurfer/references/documentation/overview/FreeSurferMethodsCitation.md
freesurfer	workflow management	6	freesurfer/SKILL.md, freesurfer/references/documentation/overview/DownloadAndInstall.md
jspsych	workflow management	6	jspsych/references/documentation/other/style.md, jspsych/references/documentation/guides/community-tutorials.md
mrtrix3	fMRI preprocessing	6	mrtrix3/references/documentation/api/dwifslpreproc.rst, mrtrix3/references/documentation/api/mrdegibbs.rst, mrtrix3/references/documentation/other/pe_scheme.rst
nibabel	experiment design	6	nibabel/references/documentation/other/biap_0001.rst, nibabel/references/documentation/other/data_pkg_discuss.rst, nibabel/references/documentation/other/dicom_niftiheader.rst
nipype	events	6	nipype/references/tutorials/level1design/level1design.md, nipype/references/tutorials/callback-gantt/callback-gantt.md
nipype	tractography	6	nipype/references/documentation/other/interfaces.rst, nipype/references/tutorials/tractography-inputs/tractography-inputs.md, nipype/references/documentation/overview/README.rst
qsiprep	GLM	6	qsiprep/references/documentation/other/preprocessing.rst, qsiprep/references/documentation/other/quickstart.rst
snakemake	GLM	6	snakemake/references/documentation/other/modularization.rst, snakemake/references/documentation/other/rules.rst, snakemake/references/documentation/guides/advanced.rst
snakemake	epoching	6	snakemake/references/tutorials/index.md, snakemake/references/tutorials/log-events/log-events.md
afni	Bayesian modeling	5	afni/references/tutorials/unparse-args-for-container/unparse-args-for-container.md
afni	EEG preprocessing	5	afni/references/tutorials/a2f-upscale/a2f-upscale.md
afni	fMRI preprocessing	5	afni/references/documentation/overview/README.rst, afni/references/tutorials/retrots-bids-custom-slice-order/retrots-bids-custom-slice-order.md
afni	quality control	5	afni/references/tutorials/logging/logging.md, afni/references/documentation/overview/README.rst
afni	surface reconstruction	5	afni/references/documentation/overview/README.rst, afni/SKILL.md, afni/references/documentation/other/glossary.rst
jspsych	fMRI preprocessing	5	jspsych/references/documentation/other/style.md, jspsych/references/documentation/other/eye-tracking.md, jspsych/references/documentation/other/plugins.md
mne-python	derivatives	5	mne-python/references/tutorials/index.md
nibabel	GLM	5	nibabel/references/documentation/other/dicom_intro.rst, nibabel/references/documentation/other/biap_0003.rst, nibabel/references/documentation/other/biap_0009.rst
nibabel	behavioral data	5	nibabel/references/documentation/other/dicom_intro.rst
nibabel	connectome	5	nibabel/references/documentation/other/nifti_images.rst, nibabel/references/tutorials/read-labels/read-labels.md, nibabel/references/documentation/other/coordinate_systems.rst
nilearn	experiment design	5	nilearn/references/documentation/other/glm_intro.rst, nilearn/references/tutorials/design-warnings/design-warnings.md, nilearn/references/documentation/other/index.rst
nilearn	tractography	5	nilearn/references/tutorials/second-level-input-as-3d-images/second-level-input-as-3d-images.md, nilearn/references/documentation/other/glossary.rst
pymc	epoching	5	pymc/references/documentation/other/glossary.md, pymc/references/documentation/overview/GOVERNANCE.md, pymc/references/documentation/overview/README.rst
afni	derivatives	4	afni/references/tutorials/index.md
eeglab	events	4	eeglab/references/documentation/overview/AGENTS.md
freesurfer	GLM	4	freesurfer/references/documentation/overview/FAQ.md, freesurfer/references/documentation/overview/Glossary.md
freesurfer	fMRI preprocessing	4	freesurfer/references/documentation/overview/Glossary.md, freesurfer/references/documentation/overview/FreeSurferCommandsRegistration.md, freesurfer/references/documentation/overview/FreeSurferMethodsCitation.md
mrtrix3	experiment design	4	mrtrix3/references/documentation/api/dwidenoise.rst, mrtrix3/references/documentation/other/external_modules.rst, mrtrix3/references/documentation/other/module.md
nibabel	tractography	4	nibabel/references/documentation/other/biap_0005.rst
psychopy	EEG preprocessing	4	psychopy/references/tutorials/formatting/formatting.md
pymc	tractography	4	pymc/references/documentation/overview/GOVERNANCE.md, pymc/references/documentation/guides/Gaussian_Processes.rst, pymc/references/documentation/other/Gaussian_Processes.rst
eeglab	quality control	3	eeglab/references/documentation/templates/bug_report.md, eeglab/references/documentation/contributing/CONTRIBUTING.md
fmriprep	behavioral data	3	fmriprep/references/documentation/other/faq.rst, fmriprep/references/documentation/other/outputs.rst, fmriprep/references/documentation/overview/README.rst
freesurfer	quality control	3	freesurfer/references/documentation/overview/CoordinateSystems.md, freesurfer/references/documentation/overview/FAQ.md, freesurfer/references/documentation/overview/FreeSurferSupport.md
jspsych	BIDS	3	jspsych/references/documentation/guides/rt-task.md, jspsych/references/documentation/other/plugins.md, jspsych/references/documentation/other/style.md
jspsych	registration	3	jspsych/references/documentation/other/record-video.md
mne-python	GLM	3	mne-python/references/documentation/other/datasets.rst, mne-python/references/documentation/other/migrating.rst, mne-python/references/documentation/other/roadmap.rst
psychopy	tractography	3	psychopy/references/documentation/community/code-of-conduct.md, psychopy/references/documentation/features/readme.md, psychopy/references/documentation/other/readme.md
pymc	browser experiment	3	pymc/references/documentation/other/using_gitpod.md, pymc/references/documentation/other/build_docs.md
afni	experiment design	2	afni/references/documentation/other/README.md, afni/references/documentation/overview/README.rst
dipy	browser experiment	2	dipy/references/documentation/other/CONTRIBUTING.md, dipy/references/documentation/other/README.rst
dipy	events	2	dipy/references/documentation/other/faq.rst, dipy/references/documentation/other/reconstruction_flow.rst
eeglab	Bayesian modeling	2	eeglab/references/documentation/contributing/CONTRIBUTING.md, eeglab/references/documentation/overview/AGENTS.md
eeglab	behavioral data	2	eeglab/references/documentation/community/CODE_OF_CONDUCT.md, eeglab/references/documentation/overview/README.md
eeglab	statistics	2	eeglab/references/documentation/contributing/CONTRIBUTING.md, eeglab/references/documentation/other/SKILL.md
eeglab	tractography	2	eeglab/references/documentation/community/CODE_OF_CONDUCT.md, eeglab/references/documentation/contributing/CONTRIBUTING.md
eeglab	workflow management	2	eeglab/references/documentation/contributing/CONTRIBUTING.md, eeglab/references/documentation/overview/AGENTS.md
jspsych	statistics	2	jspsych/references/documentation/other/eye-tracking.md, jspsych/references/documentation/other/webgazer.md
mne-python	tractography	2	mne-python/references/documentation/other/design_philosophy.rst, mne-python/references/documentation/other/glossary.rst
mrtrix3	confounds	2	mrtrix3/references/documentation/other/computing_effect_size_wrt_controls.rst
mrtrix3	workflow management	2	mrtrix3/references/documentation/contributing/CONTRIBUTING.md, mrtrix3/references/documentation/other/sift.rst
nibabel	derivatives	2	nibabel/references/documentation/other/spm_use.rst
psychopy	derivatives	2	psychopy/references/tutorials/index.md
snakemake	Bayesian modeling	2	snakemake/references/documentation/guides/advanced.rst, snakemake/references/documentation/other/codebase.rst
snakemake	derivatives	2	snakemake/references/documentation/other/rules.rst
snakemake	statistics	2	snakemake/references/documentation/other/README.md, snakemake/references/documentation/other/contributing.rst
snakemake	tractography	2	snakemake/references/documentation/community/CODE_OF_CONDUCT.md, snakemake/references/documentation/other/rules.rst
afni	statistics	1	afni/references/documentation/overview/README.rst
bids-specification	tractography	1	bids-specification/references/documentation/overview/README.md
eeglab	containerization	1	eeglab/references/documentation/overview/AGENTS.md
eeglab	experiment design	1	eeglab/references/documentation/overview/AGENTS.md
eeglab	surface reconstruction	1	eeglab/SKILL.md
fmriprep	diffusion preprocessing	1	fmriprep/references/documentation/other/outputs.rst
fmriprep	events	1	fmriprep/references/documentation/other/outputs.rst
fmriprep	experiment design	1	fmriprep/references/documentation/other/workflows.rst
freesurfer	BIDS	1	freesurfer/references/documentation/overview/Glossary.md
freesurfer	behavioral data	1	freesurfer/references/documentation/overview/FAQ.md
freesurfer	browser experiment	1	freesurfer/references/documentation/overview/Tutorials.md
freesurfer	diffusion preprocessing	1	freesurfer/references/documentation/overview/FreeSurferMethodsCitation.md
freesurfer	epoching	1	freesurfer/references/documentation/overview/FAQ.md
freesurfer	image IO	1	freesurfer/SKILL.md
jspsych	surface reconstruction	1	jspsych/SKILL.md
jspsych	tractography	1	jspsych/references/documentation/other/simulation.md
mrtrix3	epoching	1	mrtrix3/references/documentation/api/tckgen.rst
nibabel	events	1	nibabel/references/documentation/other/dicom_niftiheader.rst
nipype	derivatives	1	nipype/references/tutorials/index.md
nipype	experiment design	1	nipype/references/documentation/other/cmd_interface_devel.rst
psychopy	quality control	1	psychopy/references/documentation/other/readme.md
psychopy	surface reconstruction	1	psychopy/SKILL.md
pymc	GLM	1	pymc/references/documentation/other/glossary.md
pymc	surface reconstruction	1	pymc/SKILL.md
qsiprep	Bayesian modeling	1	qsiprep/references/documentation/other/preprocessing.rst
qsiprep	connectome	1	qsiprep/references/documentation/overview/README.rst
snakemake	connectome	1	snakemake/references/documentation/other/contributing.rst
snakemake	events	1	snakemake/references/documentation/other/faq.rst
snakemake	surface reconstruction	1	snakemake/SKILL.md
